Epoch [1/200], Loss: 249603.0470, Test Accuracy: 10.36%
Epoch [2/200], Loss: 48565.1499, Test Accuracy: 13.69%
Epoch [3/200], Loss: 14425.0455, Test Accuracy: 17.19%
Epoch [4/200], Loss: 8825.8293, Test Accuracy: 20.06%
Epoch [5/200], Loss: 7846.4322, Test Accuracy: 21.20%
Epoch [6/200], Loss: 7464.3424, Test Accuracy: 21.21%
Epoch [7/200], Loss: 7234.0343, Test Accuracy: 20.66%
Epoch [8/200], Loss: 7079.1495, Test Accuracy: 19.91%
Epoch [9/200], Loss: 6975.1263, Test Accuracy: 19.19%
Epoch [10/200], Loss: 6907.6555, Test Accuracy: 18.55%
Epoch [11/200], Loss: 6865.2904, Test Accuracy: 17.86%
Epoch [12/200], Loss: 6840.2852, Test Accuracy: 17.44%
Epoch [13/200], Loss: 6825.1944, Test Accuracy: 17.18%
Epoch [14/200], Loss: 6818.3400, Test Accuracy: 17.04%
Epoch [15/200], Loss: 6813.9012, Test Accuracy: 17.25%
Epoch [16/200], Loss: 6811.5872, Test Accuracy: 17.37%
Epoch [17/200], Loss: 6809.9175, Test Accuracy: 17.53%
Epoch [18/200], Loss: 6808.5591, Test Accuracy: 17.62%
Epoch [19/200], Loss: 6807.7396, Test Accuracy: 18.00%
Epoch [20/200], Loss: 6806.1507, Test Accuracy: 18.21%
Epoch [21/200], Loss: 6804.4780, Test Accuracy: 18.57%
Epoch [22/200], Loss: 6803.4464, Test Accuracy: 19.49%
Epoch [23/200], Loss: 6801.9858, Test Accuracy: 20.35%
Epoch [24/200], Loss: 6800.6506, Test Accuracy: 21.28%
Epoch [25/200], Loss: 6799.5019, Test Accuracy: 21.92%
Epoch [26/200], Loss: 6797.5332, Test Accuracy: 22.46%
Epoch [27/200], Loss: 6796.0885, Test Accuracy: 22.86%
Epoch [28/200], Loss: 6794.1496, Test Accuracy: 23.34%
Epoch [29/200], Loss: 6791.9875, Test Accuracy: 23.66%
Epoch [30/200], Loss: 6790.2295, Test Accuracy: 24.97%
Epoch [31/200], Loss: 6787.8400, Test Accuracy: 25.55%
Epoch [32/200], Loss: 6785.2949, Test Accuracy: 25.41%
Epoch [33/200], Loss: 6781.6789, Test Accuracy: 24.43%
Epoch [34/200], Loss: 6777.6285, Test Accuracy: 25.79%
Epoch [35/200], Loss: 6772.2280, Test Accuracy: 26.36%
Epoch [36/200], Loss: 6764.2785, Test Accuracy: 26.57%
Epoch [37/200], Loss: 6752.3684, Test Accuracy: 26.40%
Epoch [38/200], Loss: 6735.1601, Test Accuracy: 27.14%
Epoch [39/200], Loss: 6710.6595, Test Accuracy: 29.36%
Epoch [40/200], Loss: 6682.4679, Test Accuracy: 33.89%
Epoch [41/200], Loss: 6650.3318, Test Accuracy: 37.23%
Epoch [42/200], Loss: 6612.9759, Test Accuracy: 39.07%
Epoch [43/200], Loss: 6572.7248, Test Accuracy: 41.40%
Epoch [44/200], Loss: 6521.4626, Test Accuracy: 43.86%
Epoch [45/200], Loss: 6469.2821, Test Accuracy: 46.57%
Epoch [46/200], Loss: 6420.9611, Test Accuracy: 49.76%
Epoch [47/200], Loss: 6379.6408, Test Accuracy: 52.86%
Epoch [48/200], Loss: 6345.9166, Test Accuracy: 56.04%
Epoch [49/200], Loss: 6319.0276, Test Accuracy: 58.46%
Epoch [50/200], Loss: 6308.6673, Test Accuracy: 59.43%
Epoch [51/200], Loss: 6301.1419, Test Accuracy: 60.88%
Epoch [52/200], Loss: 6303.4937, Test Accuracy: 61.14%
Epoch [53/200], Loss: 6310.7678, Test Accuracy: 61.60%
Epoch [54/200], Loss: 6324.0026, Test Accuracy: 62.14%
Epoch [55/200], Loss: 6338.5032, Test Accuracy: 62.42%
Epoch [56/200], Loss: 6345.8586, Test Accuracy: 62.66%
Epoch [57/200], Loss: 6358.7497, Test Accuracy: 63.47%
Epoch [58/200], Loss: 6366.1395, Test Accuracy: 63.67%
Epoch [59/200], Loss: 6372.5328, Test Accuracy: 63.77%
Epoch [60/200], Loss: 6380.6134, Test Accuracy: 63.96%
Epoch [61/200], Loss: 6393.7136, Test Accuracy: 64.20%
Epoch [62/200], Loss: 6397.5786, Test Accuracy: 64.47%
Epoch [63/200], Loss: 6403.8219, Test Accuracy: 64.94%
Epoch [64/200], Loss: 6408.9540, Test Accuracy: 64.97%
Epoch [65/200], Loss: 6412.7806, Test Accuracy: 64.73%
Epoch [66/200], Loss: 6407.1950, Test Accuracy: 65.28%
Epoch [67/200], Loss: 6411.8989, Test Accuracy: 65.60%
Epoch [68/200], Loss: 6411.9647, Test Accuracy: 65.78%
Epoch [69/200], Loss: 6410.4145, Test Accuracy: 66.02%
Epoch [70/200], Loss: 6410.3613, Test Accuracy: 66.31%
Epoch [71/200], Loss: 6415.7281, Test Accuracy: 66.46%
