Epoch [1/200], Loss: 1797.0412, Test Accuracy: 9.29%
Epoch [2/200], Loss: 25.4365, Test Accuracy: 12.41%
Epoch [3/200], Loss: 26.7389, Test Accuracy: 15.98%
Epoch [4/200], Loss: 26.7863, Test Accuracy: 19.05%
Epoch [5/200], Loss: 26.7494, Test Accuracy: 21.98%
Epoch [6/200], Loss: 26.7177, Test Accuracy: 24.72%
Epoch [7/200], Loss: 26.6648, Test Accuracy: 27.50%
Epoch [8/200], Loss: 26.5609, Test Accuracy: 30.29%
Epoch [9/200], Loss: 26.4782, Test Accuracy: 31.89%
Epoch [10/200], Loss: 26.4137, Test Accuracy: 33.63%
Epoch [11/200], Loss: 26.3831, Test Accuracy: 35.18%
Epoch [12/200], Loss: 26.3461, Test Accuracy: 36.54%
Epoch [13/200], Loss: 26.2119, Test Accuracy: 37.54%
Epoch [14/200], Loss: 26.1858, Test Accuracy: 38.65%
Epoch [15/200], Loss: 26.1158, Test Accuracy: 39.47%
Epoch [16/200], Loss: 25.9376, Test Accuracy: 40.33%
Epoch [17/200], Loss: 25.8899, Test Accuracy: 41.18%
Epoch [18/200], Loss: 25.7178, Test Accuracy: 41.77%
Epoch [19/200], Loss: 25.5812, Test Accuracy: 42.48%
Epoch [20/200], Loss: 25.3846, Test Accuracy: 42.99%
Epoch [21/200], Loss: 25.2301, Test Accuracy: 43.47%
Epoch [22/200], Loss: 25.0461, Test Accuracy: 43.93%
Epoch [23/200], Loss: 24.9000, Test Accuracy: 44.50%
Epoch [24/200], Loss: 24.6686, Test Accuracy: 44.82%
Epoch [25/200], Loss: 24.4298, Test Accuracy: 45.08%
Epoch [26/200], Loss: 24.2798, Test Accuracy: 45.58%
Epoch [27/200], Loss: 24.0580, Test Accuracy: 45.83%
Epoch [28/200], Loss: 23.7858, Test Accuracy: 46.16%
Epoch [29/200], Loss: 23.6267, Test Accuracy: 46.53%
Epoch [30/200], Loss: 23.3481, Test Accuracy: 46.83%
Epoch [31/200], Loss: 23.0909, Test Accuracy: 47.10%
Epoch [32/200], Loss: 22.8652, Test Accuracy: 47.36%
Epoch [33/200], Loss: 22.6116, Test Accuracy: 47.60%
Epoch [34/200], Loss: 22.3666, Test Accuracy: 47.77%
Epoch [35/200], Loss: 22.1075, Test Accuracy: 47.92%
Epoch [36/200], Loss: 21.8511, Test Accuracy: 48.22%
Epoch [37/200], Loss: 21.5569, Test Accuracy: 48.35%
Epoch [38/200], Loss: 21.3350, Test Accuracy: 48.39%
Epoch [39/200], Loss: 21.0326, Test Accuracy: 48.66%
Epoch [40/200], Loss: 20.7575, Test Accuracy: 48.88%
Epoch [41/200], Loss: 20.4447, Test Accuracy: 49.02%
Epoch [42/200], Loss: 20.1517, Test Accuracy: 49.14%
Epoch [43/200], Loss: 19.8748, Test Accuracy: 49.37%
Epoch [44/200], Loss: 19.5427, Test Accuracy: 49.60%
Epoch [45/200], Loss: 19.2635, Test Accuracy: 49.71%
Epoch [46/200], Loss: 18.9345, Test Accuracy: 49.84%
Epoch [47/200], Loss: 18.6329, Test Accuracy: 49.96%
Epoch [48/200], Loss: 18.3074, Test Accuracy: 49.97%
Epoch [49/200], Loss: 17.9851, Test Accuracy: 50.16%
Epoch [50/200], Loss: 17.6192, Test Accuracy: 50.24%
Epoch [51/200], Loss: 17.3180, Test Accuracy: 50.32%
Epoch [52/200], Loss: 16.9666, Test Accuracy: 50.38%
Epoch [53/200], Loss: 16.6132, Test Accuracy: 50.39%
Epoch [54/200], Loss: 16.3266, Test Accuracy: 50.49%
Epoch [55/200], Loss: 15.8927, Test Accuracy: 50.49%
Epoch [56/200], Loss: 15.6007, Test Accuracy: 50.58%
Epoch [57/200], Loss: 15.2128, Test Accuracy: 50.68%
Epoch [58/200], Loss: 14.8859, Test Accuracy: 50.76%
Epoch [59/200], Loss: 14.4808, Test Accuracy: 50.80%
Epoch [60/200], Loss: 14.1107, Test Accuracy: 50.92%
Epoch [61/200], Loss: 13.7328, Test Accuracy: 51.00%
Epoch [62/200], Loss: 13.3501, Test Accuracy: 50.96%
Epoch [63/200], Loss: 12.9717, Test Accuracy: 51.06%
Epoch [64/200], Loss: 12.5742, Test Accuracy: 51.10%
Epoch [65/200], Loss: 12.1709, Test Accuracy: 51.09%
Epoch [66/200], Loss: 11.7722, Test Accuracy: 51.10%
Epoch [67/200], Loss: 11.3556, Test Accuracy: 51.14%
Epoch [68/200], Loss: 10.9469, Test Accuracy: 51.18%
Epoch [69/200], Loss: 10.5636, Test Accuracy: 51.17%
Epoch [70/200], Loss: 10.1303, Test Accuracy: 51.10%
Epoch [71/200], Loss: 9.7211, Test Accuracy: 51.15%
Epoch [72/200], Loss: 9.2937, Test Accuracy: 51.10%
