2024-11-25 17:30:29,918 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Configure stats pid to 2213238
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Loading settings from /home/x_shuji/.config/wandb/settings
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Loading settings from /home/x_shuji/wasp_rep/wandb/settings
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'distill.py', 'program_abspath': '/home/x_shuji/wasp_rep/distill.py', 'program': '/home/x_shuji/wasp_rep/distill.py'}
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_init.py:_log_setup():532] Logging user logs to /home/x_shuji/wasp_rep/wandb/run-20241125_173029-7pcz8b27/logs/debug.log
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_init.py:_log_setup():533] Logging internal logs to /home/x_shuji/wasp_rep/wandb/run-20241125_173029-7pcz8b27/logs/debug-internal.log
2024-11-25 17:30:29,919 INFO    MainThread:2213238 [wandb_init.py:init():617] calling init triggers
2024-11-25 17:30:29,920 INFO    MainThread:2213238 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'weight_decay': '1e-4', 'sigma': 1.0, 'ae_input_dim': 784, 'ae_latent_dim': 10, 'vae_input_dim': 784, 'vae_latent_dim': 10, 'vae_output_dim': 784, 'batch_size': 1024, 'lr': 0.0001, 'epochs': 200, 'grad_penalty': 100.0, 'inner_loss': 1.0, 'divers_loss': 1.0, 'save_every': 50, 'save_dir': './checkpoints/vae', 'n_distill': 10000}
2024-11-25 17:30:29,920 INFO    MainThread:2213238 [wandb_init.py:init():667] starting backend
2024-11-25 17:30:29,920 INFO    MainThread:2213238 [wandb_init.py:init():671] sending inform_init request
2024-11-25 17:30:29,921 INFO    MainThread:2213238 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-25 17:30:29,922 INFO    MainThread:2213238 [wandb_init.py:init():684] backend started and connected
2024-11-25 17:30:29,925 INFO    MainThread:2213238 [wandb_init.py:init():779] updated telemetry
2024-11-25 17:30:29,966 INFO    MainThread:2213238 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-11-25 17:30:30,213 INFO    MainThread:2213238 [wandb_init.py:init():863] starting run threads in backend
2024-11-25 17:30:30,424 INFO    MainThread:2213238 [wandb_run.py:_console_start():2465] atexit reg
2024-11-25 17:30:30,424 INFO    MainThread:2213238 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-11-25 17:30:30,425 INFO    MainThread:2213238 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-11-25 17:30:30,425 INFO    MainThread:2213238 [wandb_run.py:_redirect():2403] Redirects installed.
2024-11-25 17:30:30,429 INFO    MainThread:2213238 [wandb_init.py:init():907] run started, returning control to user process
2024-11-25 17:32:12,036 WARNING MsgRouterThr:2213238 [router.py:message_loop():77] message_loop has been closed
