Epoch [1/200], Loss: 2092.9365, Test Accuracy: 6.03%
Epoch [2/200], Loss: 25.4623, Test Accuracy: 6.72%
Epoch [3/200], Loss: 26.4498, Test Accuracy: 8.02%
Epoch [4/200], Loss: 26.7786, Test Accuracy: 9.98%
Epoch [5/200], Loss: 26.7935, Test Accuracy: 12.21%
Epoch [6/200], Loss: 26.8472, Test Accuracy: 14.73%
Epoch [7/200], Loss: 26.9502, Test Accuracy: 18.69%
Epoch [8/200], Loss: 27.1199, Test Accuracy: 22.90%
Epoch [9/200], Loss: 27.2316, Test Accuracy: 26.25%
Epoch [10/200], Loss: 27.2310, Test Accuracy: 28.95%
Epoch [11/200], Loss: 27.2436, Test Accuracy: 31.15%
Epoch [12/200], Loss: 27.2362, Test Accuracy: 32.76%
Epoch [13/200], Loss: 27.1245, Test Accuracy: 34.50%
Epoch [14/200], Loss: 27.0538, Test Accuracy: 35.89%
Epoch [15/200], Loss: 26.9675, Test Accuracy: 37.14%
Epoch [16/200], Loss: 26.8489, Test Accuracy: 38.49%
Epoch [17/200], Loss: 26.6929, Test Accuracy: 39.50%
Epoch [18/200], Loss: 26.5404, Test Accuracy: 40.39%
Epoch [19/200], Loss: 26.3785, Test Accuracy: 41.22%
Epoch [20/200], Loss: 26.2063, Test Accuracy: 42.13%
Epoch [21/200], Loss: 26.0459, Test Accuracy: 42.58%
Epoch [22/200], Loss: 25.8538, Test Accuracy: 43.12%
Epoch [23/200], Loss: 25.5933, Test Accuracy: 43.64%
Epoch [24/200], Loss: 25.4149, Test Accuracy: 44.02%
Epoch [25/200], Loss: 25.1897, Test Accuracy: 44.49%
Epoch [26/200], Loss: 24.9663, Test Accuracy: 44.72%
Epoch [27/200], Loss: 24.7609, Test Accuracy: 45.02%
Epoch [28/200], Loss: 24.4690, Test Accuracy: 45.36%
Epoch [29/200], Loss: 24.2430, Test Accuracy: 45.72%
Epoch [30/200], Loss: 23.9934, Test Accuracy: 45.92%
Epoch [31/200], Loss: 23.7092, Test Accuracy: 46.09%
Epoch [32/200], Loss: 23.4499, Test Accuracy: 46.49%
Epoch [33/200], Loss: 23.1771, Test Accuracy: 46.70%
Epoch [34/200], Loss: 22.9458, Test Accuracy: 47.08%
Epoch [35/200], Loss: 22.6584, Test Accuracy: 47.23%
Epoch [36/200], Loss: 22.3818, Test Accuracy: 47.49%
Epoch [37/200], Loss: 22.1026, Test Accuracy: 47.61%
Epoch [38/200], Loss: 21.8454, Test Accuracy: 47.86%
Epoch [39/200], Loss: 21.5633, Test Accuracy: 48.01%
Epoch [40/200], Loss: 21.2675, Test Accuracy: 48.12%
Epoch [41/200], Loss: 20.9611, Test Accuracy: 48.32%
