Epoch [1/200], Loss: 235610.9574, Test Accuracy: 11.25%
Epoch [2/200], Loss: 46552.2574, Test Accuracy: 12.06%
Epoch [3/200], Loss: 13914.3172, Test Accuracy: 11.29%
Epoch [4/200], Loss: 8746.7253, Test Accuracy: 10.59%
Epoch [5/200], Loss: 7821.5041, Test Accuracy: 10.43%
Epoch [6/200], Loss: 7454.4282, Test Accuracy: 10.79%
Epoch [7/200], Loss: 7228.9227, Test Accuracy: 11.81%
Epoch [8/200], Loss: 7077.2941, Test Accuracy: 12.56%
Epoch [9/200], Loss: 6976.2244, Test Accuracy: 12.79%
Epoch [10/200], Loss: 6908.5018, Test Accuracy: 12.70%
Epoch [11/200], Loss: 6865.5758, Test Accuracy: 12.66%
Epoch [12/200], Loss: 6840.7726, Test Accuracy: 12.88%
Epoch [13/200], Loss: 6826.3269, Test Accuracy: 13.78%
Epoch [14/200], Loss: 6818.6041, Test Accuracy: 15.34%
Epoch [15/200], Loss: 6814.1382, Test Accuracy: 16.76%
Epoch [16/200], Loss: 6810.8165, Test Accuracy: 18.05%
Epoch [17/200], Loss: 6808.7563, Test Accuracy: 19.05%
Epoch [18/200], Loss: 6807.3782, Test Accuracy: 19.79%
Epoch [19/200], Loss: 6805.3420, Test Accuracy: 20.45%
Epoch [20/200], Loss: 6803.1309, Test Accuracy: 21.02%
Epoch [21/200], Loss: 6801.6234, Test Accuracy: 21.79%
Epoch [22/200], Loss: 6799.9527, Test Accuracy: 22.07%
Epoch [23/200], Loss: 6798.1177, Test Accuracy: 22.30%
Epoch [24/200], Loss: 6796.3353, Test Accuracy: 22.44%
Epoch [25/200], Loss: 6794.0055, Test Accuracy: 23.22%
Epoch [26/200], Loss: 6791.0634, Test Accuracy: 23.35%
Epoch [27/200], Loss: 6788.7346, Test Accuracy: 24.15%
Epoch [28/200], Loss: 6786.1112, Test Accuracy: 24.90%
Epoch [29/200], Loss: 6781.8608, Test Accuracy: 25.48%
Epoch [30/200], Loss: 6777.5804, Test Accuracy: 26.19%
Epoch [31/200], Loss: 6773.3193, Test Accuracy: 27.39%
Epoch [32/200], Loss: 6766.6276, Test Accuracy: 28.58%
Epoch [33/200], Loss: 6758.5727, Test Accuracy: 29.90%
Epoch [34/200], Loss: 6747.2525, Test Accuracy: 29.98%
Epoch [35/200], Loss: 6730.5073, Test Accuracy: 30.87%
Epoch [36/200], Loss: 6707.4015, Test Accuracy: 32.55%
Epoch [37/200], Loss: 6676.9664, Test Accuracy: 36.07%
Epoch [38/200], Loss: 6639.6255, Test Accuracy: 39.50%
Epoch [39/200], Loss: 6595.2877, Test Accuracy: 43.40%
Epoch [40/200], Loss: 6548.3527, Test Accuracy: 45.36%
Epoch [41/200], Loss: 6494.9343, Test Accuracy: 47.38%
Epoch [42/200], Loss: 6447.9665, Test Accuracy: 48.82%
Epoch [43/200], Loss: 6410.0647, Test Accuracy: 49.90%
Epoch [44/200], Loss: 6383.3664, Test Accuracy: 51.42%
Epoch [45/200], Loss: 6365.3384, Test Accuracy: 51.75%
Epoch [46/200], Loss: 6356.7744, Test Accuracy: 53.59%
Epoch [47/200], Loss: 6353.7154, Test Accuracy: 54.83%
Epoch [48/200], Loss: 6344.0109, Test Accuracy: 55.68%
Epoch [49/200], Loss: 6341.2425, Test Accuracy: 56.92%
Epoch [50/200], Loss: 6343.8488, Test Accuracy: 57.62%
Epoch [51/200], Loss: 6343.7958, Test Accuracy: 58.41%
Epoch [52/200], Loss: 6352.1866, Test Accuracy: 59.22%
Epoch [53/200], Loss: 6355.3996, Test Accuracy: 59.78%
Epoch [54/200], Loss: 6358.0660, Test Accuracy: 60.07%
Epoch [55/200], Loss: 6364.9118, Test Accuracy: 60.58%
Epoch [56/200], Loss: 6373.0737, Test Accuracy: 61.15%
Epoch [57/200], Loss: 6376.1776, Test Accuracy: 61.57%
Epoch [58/200], Loss: 6381.1440, Test Accuracy: 62.18%
Epoch [59/200], Loss: 6385.4087, Test Accuracy: 62.82%
Epoch [60/200], Loss: 6390.8379, Test Accuracy: 63.20%
Epoch [61/200], Loss: 6396.4139, Test Accuracy: 63.46%
Epoch [62/200], Loss: 6398.1259, Test Accuracy: 63.95%
Epoch [63/200], Loss: 6400.8783, Test Accuracy: 64.39%
Epoch [64/200], Loss: 6398.5769, Test Accuracy: 64.61%
